tea,l7GQ-fR-DsA
brochure,Z1du80pIIo0
broom (sign 1),_XI-ZBIFNdU
broom (sign 2),LVoWdSuY_DA
brown,0-pxIcGvk3w
brick,Rloiqc9KybA
hand cymbals (manjira),EgnE1hPwGRs
hand sanitizer,VgrQMDa1vlI
handkerchief,HqsZI1n6pGU
handpump water,o68UYF2jW_o
hanger,f5Tm6pDk9hQ
Hanuman sign 1,OF-9aiQTAfM
Hanuman sign 2,zSGR1KaSZV4
happen,pKb4DHICBuo
hard disk, hard drive (sign 1),cApvRkBL8e0
harass, bully,sMdon0OffjU
happy,p9SdpeHMkZ0
hard disk, hard drive (sign 2),1SkZMNfDITQ
hard of hearing,WISR3HEeKgU
hard, solid, rigid, inflexible,vB-4jZVx0yU
brave, bold, courageous, strong,6nKQbhX9QHo
Brazil,lsp2o-yBY10
bread,MNCeezFR_YI
Break a leg,tZ3oGQh9Uqo
Break the ice,XeH2cAIz9as
break, pause, time out,P58pF-HenyU
break, sever, split,eRr2PaNsu9U
bribe, graft,LeRzzzBBsmU
brain (sign 3),O2_3lA8kVVE
branch, subdivision, classification,DQg2gfZHQ_0
bowl (sign 1),doWXendPFc0
bowl (sign 2),sj8kYLtXNZU
bowled out (cricket),0lrX7s_3ScY
bowler (cricket),oRJn3LprR4U
box,OC7HHIF25ik
boxing,s5AMrNjoP0Q
boyfriend,T8g7H3Ie5YU
Brahma,Idb2wQQ85ho
brain (sign 1),OELaDZo5R7I
brain (sign 2),x7SV2p_-rPE
hat,ONhI6iem9kg
hate,EE1cuwsn1IY
have,RorIn-P_3DI
he,lLd__AgPs98
head,sWKP1r9ykRQ
boss,kusWSSN4xjI
both, couple, pair,RpLX2iGqahI
bottle,Rc_b4h5nFqo
Bosnia-Herzegovina,HLngaK2mDAo
born,iqlb1r9YIAc
bookcase, bookshelf,ED_25-_F0MI
bored, uninterested,R-IpftpYr2g
bone,jLr6GA-anhg
book,iCZL3lk119A
Haji Ali Dargah,AApcKicSfHU
hard, difficult,39tZrKjvdQM
harmonium,NjT3zasZLP0
body,Bl_SheTtSt0
body piercing,WDHSvLNLkdM
body parts,c5txohM_Pv8
body pain,zHuGuas_2f8
boat,xD3S5OUhSRs
BMW,LdYbstdYCR8
bluetooth,syeNmftfElg
blue,Ykt6OXbw1q0
blouse (sign 2),n9F3-JF1Dug
blouse (sign 1),wPsIxhPHXBo
guide,ouqUEVpF0v4
diabetes (sign 2),nIYd_DTmgOA
diabetes (sign 1),hfmljrmlZ6k
100 hundred,7FcFS0hXehs
blood,_z-Ry3er2_k
blood pressure (sign 2),-JcpfOHc0nE
blood pressure (sign 1),WSEFp-h4Vk0
blocks,gLH8E10Xex8
blinds, shade,GZagTSm_qhM
bless,KhHs-1AePDw
blackboard duster (sign 2),c4Nn0I-C4gY
blackboard duster (sign 1),GlsK0Ejjyhg
BlackBerry,bz6nldNgnjU
black,VMsWda7pWZA
bitter gourd,mRodiqQBduE
bite,N0bpk_dzCuk
Bite the bullet,EREEJ9_rFgs
biscuit,50A9vnIaQNE
birthday,T41OsrviQCY
birds,mKxgmzevEio
Birds of a feather flock together,jTfDQvOdKU0
bindi,xTQHYVNuH2I
bill (sign 2),kAIC79Ubl_g
bill (sign 1),TPdAyuJYQtE
bilingual,AJyoUbv1lzs
bike, motorcycle (sign 3),ldoR2f3W4co
bike, motorcycle (sign 2),XAvOgSgdGDA
bike, motorcycle (sign 1),wx8pMHRIYho
Bihar,RjDvvpbDcHk
big,BFYTOi2N1w8
bib,W6k4SdELuOA
good (sign 2),GZq28EIBmQs
grass,5_XwDbt8TGc
gas stove (sign 1),Iqjt_znBgeE
glue,JUMBB2W1Q94
gloves (sign 1),E4hL5jUFwCk
granddaughter,jZ46cqBrg3s
grammar,1ULJICYKp4E
garlic,UpDvz4TFXuY
grandson,vtVQ-YBoKGY
girlfriend,vj85ZSkQDVo
glass,l_iVlaZg-so
Good morning,L37McuHckSI
gossip, whispers, idle talk (meaning),ezucq9E_nvs
green bean,jFdwRqDDa_Q
goat (sign 1),s-570A5kLxo
Give someone the cold shoulder,MjpLTSPr4o0
Goa (sign 1),svQ3jUcN4f8
gol gappe, pani puri,03UqtTd9opc
greedy (sign 2),F_Bi2czPDcc
grapes,6kVsL2YCP7I
Goa (sign 2),L4q4_7OOznw
get,E8uf2VM3KCo
good (sign 1),aQEJlg8RhXQ
Go back to the drawing board,Ack-_RirE4k
government,KN6wMRGjxGk
Golden Temple,lquuC45v24M
Good night,zxwuZPkYjrQ
gram,oH1yvkXOQ6w
gossip, whispers, idle talk,06lnhzFJMgo
ginger (sign 1),n2Yyy3BkMjk
Gionee,IOcKAmXpVUA
Go Air,3y-nQO6e5iQ
Give someone the benefit of the doubt,zEAcP-DeGT4
golf,XE2bfzfoTro
Georgia,9BMHwqCSjag
gas lighter,DNVOzTx47ew
girl,wedIVeQMY1k
go,RqddJENqoOY
goat (sign 2),ZEOITP9Urts
gloves (sign 2),e7LFVgiUCr8
ginger (sign 2),cHTrAwUZtNY
get up, wake up,2GS4eJRYIi8
gift,U4zeXOlfF2c
geography,9c_bONRs12w
genius,PLtRFkjPkxo
Germany,3vAxsFOJdVo
Ghana,mUeSvl1T5Sk
Get out of hand,Ne3TLfTGZwo
garden (sign 2),U5KcZNFATFM
genuine,_8BciHWrpOA
general secretary,DxotcbkEnMY
gardener,3bAW9KtLSXk
gate,mDef1KqeBTw
gas stove (sign 2),t8z3PzQKmwg
garden (sign 1),88cVTMvw2fw
general,XT42tl2wl_4
Gandhinagar,kV7Oo7D26Gw
Garib Rath Express,zLxJPYBRIEM
garage,OU-XIIEFnw4
Gangtok,v5F3fOpfrBI
4G,16P4ngMXeLM
3G,Dr99eNeltzU
[Private video],yrCwZRbgLbg
grey (sign 1),P2OKqOpct8s
extra,SYlMAasD3Aw
expiry,MB7HhOsEvxk
experiment (sign 1),ooGQLLL-8RQ
express, convey,xqWx6o5iue4
exercise,Mqa0sDOMArQ
explain,Hkv0JPEwiEE
Express Train,XDSaCZLa0o0
extend,UyuuFpV2QCg
expert, specialist,Ystk7l_FXfM
extinct (sign 2),r8-q53AmmMg
expensive,xu3e-IU_xRM
experiment (sign 2),DJzxcG2JLTA
extinct sign 1,fCd20l7-3Mo
eyebrow,B0JKoyG_q0g
eye,w0Z2yfGcCW8
[Private video],2e5SUxTjVvI
[Private video],msAFTkGIkKY
deputy director (sign 2),I3_S8sTuQT0
designer,0C-nMsdpftw
Egypt (sign 2),AgB-ICcX7Fg
egg,o_ebrgyrnuk
Egypt (sign 1),M84ritBmcTE
El Salvador,x3H9ltkR_vM
election,2oHjc0njDdo
electrician (sign 1),f-uyGiFPPTo
electrician (sign 2),XVoGUfRZqHo
electricity,A-DmE3OOAfU
elephant (sign 1),LlpSiou4X7w
elephant (sign 2),kU3ISrjeygE
elevator,_7E0eolOh4c
email,1w_bYsmoFKA
embarrass (sign 1),kA8JbsFi4dI
embarrass (sign 2),bq2QpJpjWUs
emergency medical technician,oNRtJ5PQ4NU
emergency,hnwJMWsU8tg
emphasize,bMY7k6ug38E
empowerment,W5RDOklZQxc
end, finish (video, movie),UOCJkoSjr9w
encourage,yebEzbBOQl4
economics (sign 1),jvJvFTBSXuw
economics (sign 2),n-1noAwKg1w
edit (sign 1),t6qqXzf4tq8
edit (sign 2),fB6rpU-9SSU
editor,sX9zUwVdKmI
east (sign 2),C0znUIY2osY
Easy does it,2Tka3BEG0dA
easy,QEKQr_KeKe4
eat,Cgs1MibMXJ0
e-book,65whLEBzOCw
eclipse,SewBqDY49qs
east (sign 1),aXX2ysgHZTA
earthquake,_tx2iiQNlZs
earth,F7wUQReGNEw
ear,3jg1TpRzkGs
eagle,gnMQXat5V9I
each (sign 2),2oYEEIt4HFs
each (sign 1),3t63THdE5wM
18 eighteen,kfb__18uzpw
11 eleven,1-Zz07NcsKM
8 eight,l_QL6DBEeFk
endure, tolerate (meaning),RVEky1JFtBg
enemy,GcR4QYxAdmY
engagement,cfPvMQAbTy8
engine,fI7cp68IaQU
engineer,1vPiHLNlbBw
England (sign 1),N9JQMzE7_DI
[Private video],6-puAJsTDRQ
English,D19X5MhzZcE
enjoy,T976ElYJ-qY
enough (sign 1),vM9tngFYH1c
enough (sign 2),vPAwEcpbWqo
envelope,6v_d76h7Axg
environment (sign 1),Gv8Q72yX4Yk
environment (sign 2),5NyBQ0If_iA
between, in the middle (sign 2),_gdCYZeEcTY
between, middle (sign 1),tnMi73_WfPg
[Private video],BqgTzj7IeZ0
better,f9rCwRfIxKw
Better late than never,LlAJbMbtUyA
best (sign 3),_deTkHwvwhc
best (sign 2),-oJL0D3n2e0
best (sign 1),TRgM0lzJs-4
Bengali,WOUQtem-BE0
benefit, profit, gain,SnUlY4XhAG0
belt,MpOh9MQvWbY
below,Tf97LjJhrMU
bell (sign 3),Pu9zSjEsqnk
bell (sign 2),xwgkeViNOwI
bell (sign 1),otXF356rVzQ
believe,tPNg2Waa57k
Belgium,_lF0BZafFlw
behind (sign 2),TtNpydFV6rI
behind (sign 1),zHSDpV4Ok2Q
behaviour, conduct, manner,M5d-xq3xJi4
before (sign 2),1aZYCh3HDZY
before (sign 1),pwmFabvAS3k
beetroot,PKLiUylI7jY
beer (sign 3),BWKieNmLY2c
beer (sign 2),RfTlPy0yoLg
beer (sign 1),R_GaklgD4bY
bedroom,aCaG3G4PAkQ
beautiful (sign 2),pxP6gH5pazw
beautiful (sign 1),QJDOHjM9eb8
beat, triumph, outdo, be victorious (sign 2),5vj022EoOLA
beat, triumph, outdo, be victorious (sign 1),hG7jqJgpYzI
Beat around the bush,zE5flYdW0w0
bear, endure, tolerate (sign 2),DCH3d-S6BlI
bear, endure, tolerate (sign 1),W0VSNIUgNVw
dhoti,f49RmUp0qqQ
dholak,gKN3BC-U3d4
dhobi,pu9ff2Xvfy4
diesel,0qDR-9wAiXk
dice,g8H6NFJ8o7w
diaper, nappy,3DSsRKPkiGI
Usury,Pz9eIPXF6LQ
different,cBtN1DlLXAs
dinner,-a0-goHN-rQ
direction, route,ug0cTrsjK50
director (movie),f-buhqEDiZ0
director,A7Z8eaNDLGg
disability,Roe3st2xwgQ
disagree, dissent (sign 1),34WMjwYFdsI
disagree, dissent (sign 2),bouFPfGo6UI
diet (sign 1),aF7X0ClwZVg
diet (sign 2),HuPD22JS5QA
disappear, vanish,E4rnCudFi8c
discipline,TkREyqdJoCI
discount,Zc9o_U0ilpU
discus throw,BPEbby3LaMo
discuss, confer,1IZPvJn7an0
disease,aFGQehtPlPc
disobey,VqeazWZzEp4
disrespect,ov-SGBORI6Y
distance learning,_HPV8-2Xdx8
distance,VCDSOi8Hix0
distribute, allocate,x1S_tnc_djk
district,lOvFBGpn0bQ
divide, separate,_WDeSbXAV3w
divide, split, segregate,HIZYnYZpipc
diving,0FHckg-WrEo
Diwali (sign 1),SOMg4XV_dEY
Diwali (sign 3),QJDAMIo3A6Y
Diwali (sign 4),t7t7Jioxeu8
dizzy,Mr30rM7vf4Q
do,fiTyNgucpYM
document,pNiWeRZM59o
dog sign 1,7O43NW_PICc
Cut corners,HTbNR5mBC3E
crowd, horde, mass, throng,y_q_egfFoq0
cruel, brutal, inhuman, ruthless, cold hearted,3FhNDV9UDzc
cruel, callous, harsh, ruthless (sign 1),u6hpIkJUQXE
cry, sob (sign 3),SyRmYT523cU
cry, bawl, scream,cKkCZ_GYpkk
copy and paste,vSEUaTn35j4
country,Qb3nTAfOz2Q
cottage cheese, paneer,mh7hK_GB1yQ
corn,CKkHv_YeHWU
course, programme,oZ6x75IBNj8
cooker,BdQCN4niLds
control, manage,0n_FeKAXjUI
contract, contractual (job),CjL55F1EpNk
continue, carry on,tnQmQCzJKfI
consultant,57wK5eB74gw
construct, build,Kx46yWsDfrU
constant, continuous,E79Kez92aqs
conserve, preserve, save,870f18p-XdE
contract, agreement, deal, pact,OJqZgTGpghQ
cook,Csudbq04CV0
Cambodia,QIaK1zBDLkE
Canada,E7ASHBd0kDs
China,uYfcQkRSvAY
Chile,ZM95iphl6eM
[Private video],sFjn3cTFUT4
Chandigarh,rufhjKU3UII
Armenia,o-Y-aBPo_xw
Argentina,cmFVOsYv2Nk
[Private video],8pLSdUH-S5U
[Private video],bC9ZZ5izJPk
chikoo,_GG3jvZWj_4
chilli (sign 1),UK3lCFwSt7A
cherry (sign 1),KnE_y9wziOc
cheque (sign 1),Il9Z5pMnfDo
cheap (talk, behaviour, etc),mJz4mKTtt64
chickpea,eAFoZUaOwac
change,NGfUhD-kG1M
chapati, roti,Miw0xZr0diU
chief minister,dRZkuKTLcis
chart,Kt4-ijSTM58
[Private video],748qVYC4N1s
chef,zWdWqozClE4
cheque (sign 2),6y6ylBP0yc8
chalk (sign 1),bFEz8r3xfMI
century (meaning),HE7cOw_O6cA
cell, mobile (sign 3),pcMAg0w93W0
chalk (sign 2),daRWg-gnW7M
centimetre,f06TttdeYNE
cell, mobile (touchscreen),TkZ8qS_TIXk
almost, nearly,F1AvK4jxMuA
Amazon,Zgmvl6IgXuY
animals (sign 2),3Y7KPnUv9kA
applause,JHK7flaSzzM
All India Foundation of Deaf Women,1kJrmgJ0EMs
call,um4s1H6JPJg
carpenter (sign 1),AQ_ba6r2-YM
baseball,Ps4VoPyMAb8
basil,_jbbOFSVFyY
bath tub,8r5QmLFv9Jc
bath (sign 2),ZwVF0XfVD7I
bathroom,5rku2NSGq94
basic (sign 1),-UjDGBnJuQE
calculator (sign 1),xY-hLKnjahw
cabbage,5JrVqdElpw4
All India Federation of the Deaf,YufUJ48avIM
calm,bdHi2Gyruqw
casio,N0QNiLrVGl4
capable,37i_Xt_w0Rs
cashier,w49chg-Y92g
cell, mobile (sign 2),EkK_DEi9vog
catch (a person, a mistake),JYvB-eiJP-I
carpenter (sign 2),p0IHOoCCGNU
capsicum (sign 1),Py0R_2XywOQ
capital (sign 2),64Cdgzetaxs
capital (sign 1),rKDZTG2rFPs
can (sign 1),A7GtKqvxPNA
careful,yi--S0oh64s
cartoon,BI57SSk_cGU
carpet,9pEAebpmkS0
cap,wVgslraD204
camel,Cz3KCbolavI
carrot,UMMYGhp1SD4
car,SUGgjeP54CQ
cat (sign 2),wubfL2VbBLY
cancel, call off,-kAnMQUsNqY
cell, mobile (sign 1),h8cX3gzzey8
celebrate, enjoy,Y0ObDf8ZmJ0
CD,9BvwAQ7c9-c
catch (things, example, ball),mUes7TvTZ0Y
category, classification, group, section,TJQdtS0Dkyw
cave,h8PX8tmC6D0
catalogue,YGISt7qQBCw
carrom,ArcfZOVJyc4
cash, notes,zaCXh7eQO2Y
cartoon meaning,G1kA8fiQM3Q
cat (sign 1),Rc4vFhGRgIs
capsicum (sign 2),kjF2AUzUKO0
careless, negligent,Y0JhQ12-JVE
capital (finance),s57mcqROvtA
carpenter (sign 3),bp9mzPexxVY
candle,DAhaM4E1wSM
can (sign 2),M5ML0oF4VzU
canteen,W1JjuXkqfyA
Call it a day,GNigEuAKJt0
banker,MBJe-opDrVg
barber,fmW1matLfhk
around (sign 2),uSz2hrQZr3o
argue, dispute, quarrel,TLN5DkTzcX8
around (sign 1),gzlymlA-sW8
arm,c6-NB5Yrrdo
archery,3HMUM-9pQj0
archaeologist,tY7LqqsBV5Y
area (sign 2),I_TQyqgYvoA
approve (sign 2),qXV1KRvMA-Y
approximate (sign 2),S21lcUrY_pM
area (sign 1),r7VLa40tjvM
April,sPzCUfCMJH4
approximate (sign 1),xgU5S08eD90
approve (sign 1),rpMNq0nFlUQ
appointment (sign 2),acdKVU7bbhw
[Private video],0hEQ8ufcIQU
bandage,S9wg2vb8-Aw
band-aid,UOktZawGna4
Bandra to Worli Sea Link,cNL6z2IayOU
banana,GYVZ3VpzJRI
banana tree,YcTowX_Es6E
ban (sign 2),apdZVZdwz54
ban (sign 1),MZsQzU7tOfs
bamboo,TrCMG8Jm2_c
balloon (sign 2),wzz6Gt0EotA
balloon (sign 1),ndCTFD1P_qo
anniversary,3SIXJfwYlFw
anonymous (sign 2),-qhN2FaYkUc
ant,zw53Xl_e9QA
announce, declare, release,buBZGkwchow
amount, quantity (sign 1),QlEKJLgEWMg
alive,5xmJG9zQ9jw
anxious,VBM4ss11k-k
already (sign 2),50jD8JNDy1s
apartment,5y3eMNykOsA
apple,nuYcIMq8e5U
amazed,N2GsWA1smG8
analysis,zlGi_SB04cI
application,uBi-YX42NwI
app,upAZkdtoF_Q
all (sign 2),DbDsfmhI-U8
applicant,i4rgDyw5mc8
always, every time,iWpgiYUT23c
allow (sign 2),MTAoneZNzeQ
appointment (sign 1),c4HojUA2FGE
all (sign 1),NNAmDtu46B0
answer,BMzjPIvzVfU
anonymous (sign 1),f6ncKQ2HlJs
anonymous meaning,1XFe7SCIQKw
any,vXg5mjo2Lpc
annual, yearly,c26UiFPMTcw
alphabet,bacheB1uzFE
animals (sign 1),OjJ2Vu0k5d8
amount, total (sign 2),9qLTvYXHLdU
ally, allied, alliance meaning,FxpR_7U84nQ
alone, solo,jc2G1aW5DQU
allow (sign 1),fAjax7qngzk
balcony,Id-oKWnrMao
ball cricket,BSJyINZgfWY
ball,yjnm43fEimY
balance,G-xw6dwoiBc
bake,RpZGZHEgtYI
Bajaj Bike,LY6maLw5JZg
bag,yqRuuOhG1Cs
bag, sling bag,aTp3Y4ABxB4
bad language, verbal abuse (sign 2),xghJ6vKFuKQ
bag, backpack,GGK97cywvBc
bad language, verbal abuse (sign 1),eJ8Brka8TKw
bad (sign 2),9uSE_BJx1Po
back,LKyBt6Px1Uc
bad (sign 1),l8lwU4wIOz4
background,zgQAKKtXOZY
alike, similar,ffJgebjRuvo
back, return (sign 3),cj56UIvObV8
back, go back, reverse (sign 2),0Kcn-1OPd84
back, behind (sign 1),TDlj5kHwiTk
cage,a3ZwnyHdlGI
calendar (sign 2),rRVnNmQOR-I
calendar (sign 1),lYS6WVGPAWo
calculator (sign 2),p9bBKmmXvkY
calendar (sign 3),8EF9j5VqHzw
calculator (sign 4),1wmnjSPpUHs
calculator (sign 3),Azhplpvwi6Q
call (phone),GiOVSFEP2UQ
Akshay Kumar,WYEvZx_EaEo
Ajmer Sharif Dargah,xoSQfP-1A-c
Aishwarya Rai Bachchan,PqxgC356hdw
Airtel,kdMxj-h-rRs
airport,zbxW8XnyziA
AirJet,ubBmCChM6Ag
Aircel,zvhxuidq68g
Air Vistara,-xNmG6y1-9E
air pollution,VhB51KKUi10
Air India, Alliance Air,4xykTArwSSg
Air Deccan,1Ih8aIET1t8
air conditioner,-03Dju3yPHE
air (sign 2),eJ5kLxC1ViY
air (sign 1),VdR3IR0wqDY
aim  target, goal,F_ssKRakSBs
agree, concur, consent,QtR5-M2w3RQ
age,5anbkZmuIaQ
again, repeat (sign 2),HNF-z7j8p0A
again, repeat (sign 1),aO1B2sAfigI
again and again, repeatedly, over and over again,t729MGitv94
afternoon,rvjY9vlX_H4
after,fQcXVe8_ZLw
afraid, scared,1wTikbR4vsE
affect, impact, influence,y7FUr6B4Uh4
aeroplane (sign 3),7-U7JLrcGHo
aeroplane (sign 2),A8fPXgxSQ-k
aeroplane (sign 1),HqEam06JRKo
advocate,dnl45S16tjs
advise, counsel,Q7wCb9WlhA0
accept,n0ixnjHqfAU
accordion,z-ke4RyMx_w
address (sign 1),fFrKd1qI9ZM
abacus,Lq13Nl5Ps58
adopt,Nqh6_B0gfec
advertisement,PvzM89FGSp0
accident,Ykv_2L4-7RY
active, energetic,hKT6dEhxTAE
Actions speak louder than words,jYlNFP_BxsU
accompany (sign 1),jGIwLZTt9ZI
accompany (sign 2),5xpCpxYgLGg
a lot,HwgChfSHtlI
advantage,puQHunAHML8
A penny saved is a penny earned,UKcMoQ0mJDw
admire, commend, praise, appreciate,46-lhzhJf78
Aamir Khan (sign 2),aCW5vMnjQvo
adult (sign 2),g9R8d7G2MuY
add,oJUjrqXkdjs
add, more,lWnmHMNS06E
actress,ODNZ6nd7uls
absent,Cd0f7fvtGTg
A dime a dozen,zQPvKggyt48
able, can,_a81r3Cftzk
action,Oy09VfmP5sQ
able (meaning),P2abspkSU_s
A bird in the hand is worth two in the bush,SFUS_db3obA
delicious,Jm2j6rZhGXo
Degree (range),ZrPL-xKnDfk
Determined,6YLxdNCHGpg
Degree (certificate),8A3qKZoz1ik
Deceive,rdW1Snzd9cs
Decide,qFfaDK70Jvc
Debate,E2-FY4q-Kbg
Date (fruit),YGPgejLrILM
Date (when),sSvBHFI6AOk
Data, information, statistics,aK_immPV5TM
Danger, hazard, peril,YFrtVUeFoe4
Daily, Everyday,4onhprzwUMw
defend, shield, protect (sign 1),pAo8Zc96Tu8
Angry,x5VIvDZhXNg
Angel,WxO_mDkSqi0
Ache, Pain,B71wV1k7n4M
accuse, blame,r3HsR87-sN8
Allergy,q_HxcWofEZU
Aim, Target,LG9lvVHK-xA
Agree,cdg2loc35vs
Award, prize,rBi-dpJFZuA
Average, mediocre,NT-LpmJHMcw
Audience,pcszWYZUdr4
Association,GjY2iudi9lM
ask, question,Owp1cwVnCok
Arrest,d0SGtxOqFpU
Army,uRwmFRKMF58
Annual,hL5w2l57g9k
Accessible, Accessibility,gCFab9coHrU
Kitchen,EzA7vpG_mnw
Absent,c8QdJkQk-S4
Upset,yuo_oeBoTKk
True,CD7q4E7thng
Translate,0_3gIUNTp8U
Try,oXDA73D5WAM
University,jZgU5rsfZ4c
Understand,-rahbCV2Pp4
Art,l7tvPoyzWRI
Category,JFVB97UDh6o
Capital,8G5NgkTRK8s
Adult,tjA2aFyBuY4
Alternative,UbQHwZHQSRM
open (sign 2),iayx3bt-0Rg
Once,B6UQh9WuYAY
Strict,wIi5NVKOOfM
Thank you,wK8amEJAK1Y
Vehicles,uNZ-A9bIT2c
Approach,s5mQsATayMM
Authentic, original,_lArEvKP43c
Accounts,2L_H8HYM5hE
Everything,juYkSGK7Few
Fine,23kjqyecBwE
Fine (Punishment),DBUTlAHjWlI
Fashion, Style,HZKmJZ3VpIg
Collect,iP15-5bXA-k
Colour (sign 1),Wv59G4v5X2Y
Colour (sign 2),rJbc69qxPDA
Factory,iZgNcu2HzzE
Ethics,zaGjEBwl--8
Expensive,TXA5pIG0jEM
Escape,7S1IJ8OrInU
Express,NbG_5zEsSoE
Equal,Xf0NPEArdgY
Education,IO0nQfhpxh8
Draft,779eNGeW_Fo
Divide (sign 2),78hb7LPYmDU
Divide (sign 1),8L3-sQV1BmU
Drive,sLLQkt04ZiQ
Doubt,KRnfvBZ_V14
Double,tY45mTvKGKc
Dictionary,U8TyoD2LxLU
Die,9BJ5ZQixW34
Draw,icjDmpATHwE
Dustbin,dOPSYCZ4mfU
Cycle,N4NevefkpsQ
Curd,wK7Y3bBPwtI
Communicate,XI4MKE3j4no
Right,VC_lTWT1HXU
Punish,37bLyyxKZKs
Projector,8edWFVV1lo4
Process,N51UnxHrRZg
Pray,CmAtK2kV6GY
Practice,ZU74gADGVD4
Picture,His11C0YFps
Permanent,2dd7JFwQPh0
Perfect,8I4sK9g2t-4
Office,8gAE5cho4ck
Hard (sign 2),96JTPuAvmno
Manage,c9D91JO8O0w
Hug,WaYyPwTPsY4
Humid,yZlMisXPUms
Hard (sign 1),bDA6y9S2bb4
Hotel,xm2Vju9w0-I
Free,UMS2IJZt6To
Full,7DwXOsZG5p8
Available,y-rA7UuFbVM
Forget,DpoUiyIlk2k
[Private video],_8kzqPLyY4U
third,v4dtaEki4f8
think, contemplate, ponder,r99WfHTRr2A
things,F_es2B9Sgo0
thin, skinny,dxoUqsSHx4E
thief (example),1j6zk5-ngJo
they,7qLPwuH3tVw
thermometer (sign 2),p7L6g9YzTVU
thermometer (sign 1),uuzch67c-xE
there,ZIKWlQUff9c
therapist (explanation),7nTC398KiPM
themselves,P_o20L8zhHU
theirs,HjQ5ftX3H1c
The last straw, The final straw,L_3rgd9YOVA
The best of both worlds,wbv4nSQCMVY
that,AEfFAtmkt6o
thank you (sign 2),-4MbWP5T-cU
thank you (sign 1),Yz4vZ5ALDfw
Thailand,N62iv94HI18
tension,hga2Zs6wmWw
tiffin,izdqbJ_kMkE
tie,y3ck7KPhSug
ticket,rmgyo8yyqfo
Thursday,iKNbZ_6pB5c
thunder,q6RWNvLf2kA
throw,autuHm9_jWo
throat,Bc5uO2zRNJA
thrice (sign 2),jn-vHteHdA0
thrice (sign 1),5smQtXAYAKM
three days before,lkXLuq4RHCc
three days after,MPCAeXe2E0c
threading,xjCStYhMoBE
thread,Uz_wWiAtIUY
this,hnIlCRz665c
[Private video],aHhWeircCv4
tight (clothes) (sign 1),at2bDwxeV3c
time table (sign 2),_JhAFFdTuQk
time table (sign 1),l74MrarGqOk
Time flies when you are having fun,96gscoBKIzM
tight (clothes) (sign 2),bI019MZru3U
transparent,L2Kvwf8SEvE
transparent (example),qpNvq1zrIuc
translator,XMtMf2GRxxk
translate,vzR3201tHPY
transgender,Hh69480i03w
train (sign 2),wDy5hBdrwoc
train (sign 1),X6ZfXYmVdZY
train (sign 1),X6ZfXYmVdZY
traffic,DXj1A4BNsQg
traffic lights,dQs0quEuTls
traditional,R22GF3-wqUY
trader,ZM0n1zjza48
tractor (sign 2),x7TnEHc0viU
tractor (sign 1),CbscRBBGtT8
timid,MKSKluySI3E
time,nuVE-pwIDNM
tolerate (sign 2),pU-6WzNOsuc
tolerate (sign 1),JLwyU0Pd35Y
together,O9ZwfYTIETI
together, collectively, jointly,BAuCEJ4uKgE
toffee,UYYmJtinmNg
toenail,qSD4IBK27Zg
today,Iji2l3tYxHc
toaster,lJsUQT5Ztv8
tired, exhausted, fatigued,r9DiSHym81k
tinda, Indian squash, apple gourd (sign 2),Nb8uJ822Tig
tinda, Indian squash, apple gourd (sign 1),F7s5GtLbtGE
Toyota,tD_WEFLyuDY
toy,Mx_mNhBhWx0
town (sign 2),vvyGWPvy1cc
town (sign 1),vYM_64Gc77o
town (sign 1),vYM_64Gc77o
tornado,IRUYQfpLjhY
torch,NZ2sunnoc7k
topic, subject, theme,Aeq2jo3tSdA
top (sign 2),97UeCMhqWxw
top (sign 1),Yws2a_L3P5k
toothpick,6BHgvzr83E8
tooth,GH5LgcALHiM
tootbrush,U18qbyFJKnA
tonight,iLnDUh6SJSo
towel,yNv7aFGlGFA
touchscreen,UjkcbDkHvxY
touch,7sR29KFzUog
tortoise,9NyNlhJnyng
total, aggregate, complete,8I__oqg4_eE
toothpaste,Pj0MkbEahC8
tomorrow,0DYb-qL1t0A
tonic,D2Ayu0l7M78
tongue,s7Rg0qiQ1Fs
tongs,5PHRpx9Lqzc
travel agent,f1g9b3SKHxk
Tripura (sign 1),LjwZPYHjqds
triple (sign 2),mkXoxeaRCRc
triple (sign 1),DVe5knz8gh8
trip, tour,6ij6_5cxcfk
triangle (sign 2),59i-nVlaygI
triangle (sign 1),KLpXMM5NiYQ
tree (sign 2),BEBfzPkE3EY
tree (sign 1),Py2RBS-e9Xg
travel,4-d6EGJjZNk
[Private video],PKyGYvB0Mf0
[Private video],3EU1DcenjJw
[Private video],C_7MNhDkut4
truck (sign 1),nZC6NXo3SAc
tyre,eKHR8uZXbHE
typist,prejlBZJFWo
two days before,ylCAApFrP88
two days after,ANfL9O6wy4Y
Twitter (sign 2),-It9bwqowig
Twitter (sign 1),UORRNKMTusE
twin (sign 2),pxjiTt5uiQo
twin (sign 1),nN5836JqV6o
TVS Bike,J81k9pkL1tg
turn,xMaMOHTmML4
Turkey,k5dRhEhUEQ0
Tunisia,v_7Bg4-cPjg
Tuesday (sign 2),YMsS8QIdWM0
Tuesday (sign 1),7R_b_tfp5lM
tuberculosis,4Vj5NM9KRzY
tubelight,ZxL9a3whvvo
try (sign 2),PqOEUuH2gj4
try (sign 1),PK4bvgOLUWs
trust,LSrto7ULuac
true, genuine, real,IhUPDOGqMaw
truck (sign 2),zhKQnsHLNeA
