tea,l7GQ-fR-DsA
valley (meaning),DfokHjizYRY
Vadodara,dQd7vQzxfJE
vacation, holidays,7BK0J1hZ7_Q
Urdu,WxIEetxTkzk
Uruguay,qCoHkpGP5CA
Uttar Pradesh,MmrdlTXfNco
Uzbekistan,3X7DZIiH2ZQ
Uttarakhand,T--ANw8Oxkk
upset, disturbed,9sK2PFaxoHw
up,rn4NJPtL1m8
unofficial,jMT-IXiUqYU
unlimited, boundless, infinite,XdGYd0-mOy8
university,VYSankCl2f8
universal design (meaning),j1ggaP_d2cs
United States of America,pvCPTa5YUSQ
United Nations,-x6DzWY7lmk
United Nations Convention on the Rights of Persons with Disabilities UNCRPD (sign 2),_vlN9I_YSG8
United Nations Convention on the Rights of Persons with Disabilities UNCRPD (sign 1),tEJlKXA7Lkg
United Kingdom,RhS6nAUP3C4
United Arab Emirates,D9jI_HByl1Q
unite, unity (sign 2),5y87G_irytQ
unite, unity (sign 1),Ni3iHE6bas8
understand, comprehend,ZzpQw5V7gD0
understand, comprehend, grasp (sign 2),TmsgikIaXu4
understand, comprehend, grasp (sign 1),dPSB-HxRET4
umpire (cricket),Cqtgx6BSkRk
unemployed,qMD3sfogugU
uncomfortable,G2Lhs-1HRys
Under the weather,aIJKbhWx3So
uncle,-7IkPH6iIQA
umbrella (sign 2),ZThUGVQhL08
umbrella (sign 1),1xTATM3v8k4
Umaid Bhawan Palace,j-qHEAz6J6A
Ukraine,mLANykny44w
Uganda,3lMNHGXNQ3Q
wrong, incorrect,n0NXSLz7Skk
writer, author,8arkJfd_jyQ
write,UFePdoNR_KM
wrestling (sign 2),Z_aF7Dndg5o
wrestling (sign 1),dWeSkZ2K4TA
World Federation of the Deaf Youth Section (WFDYS),0zTZkTkBAoU
worry,wMm24t1NrcM
wound,5buFHMBPDy4
World Federation of the Deaf (WFD),Y1qTt6mL5ck
World Federation of the Deaf (WFD),Y1qTt6mL5ck
World Association of Sign Language Interpreters (WASLI),9bU0eltCrYQ
workshop,tKmXdtC6FLA
work sign 3,FlZ8Xekr-JA
Mahavir Jayanti (sign 1),0TGJCFJv2iU
Maha Shivaratri (sign 1),qoGtYKREfLY
Maharashtra,DTWS5Oy3kcY
Madhya Pradesh,YMuk_8H4EWM
Mahatma Gandhi,x-lubm0ha08
magician (sign 2),3ncXcBiwveA
Maha Shivaratri (sign 2),OQ1e6lpNybo
magician (sign 1),AJenZvPmsXY
Macau,eGXitOKnND8
Maha Shivaratri (sign 3),cj4nM0IFGYQ
Madagascar,Vc81XotPSFs
magnet,VLeir-T0xmU
lunch,1vpIZUFKZpQ
luck (sign 1),RwIFUiFGMGw
Lotus Temple,S_Dj4XBbbzM
inauguration (sign 2),2LLe-kRAu0o
idea (sign 2),xMvpodrz6dM
identity,uE8YfF7bTGM
illegal, unlawful (sign 1),XeV_Qqks978
immediate, instant, swift,gG-xmfo-y3A
ice hockey,oUcoHPxXsbA
I, me,1f6OchgCQrE
increase (sign 3),kZnl4XgNVgU
in,BLazXqvPnKk
increase (sign 1),k9C_uq11Ja0
increase, augment,-NXGOOSb2sk
inch,zzsrMEMxAUU
increase (sign 2),RUKgTVVuVcg
independent,upaDJQnr9nw
Indian Sign Language Research and Training Centre (ISLRTC),5Z_Rm0W-HgE
infinite, immeasurable, limitless,e8r0Tt42W7Q
India sign 4,7kEbmn2BWIA
Indigo,2MvrW4Vw7ZU
individual,5zBLuemgyH8
Indian Sign Language Interpreters Association (ISLIA),DPFh6Vtj8nY
Indira Gandhi,gvFkCJni120
Indian Sign Language ISL sign 2,1yVn9e5zDKU
Indian Sign Language ISL sign 1,tq8jQqoHYFA
influence, affect,ueiJkNzXxzw
India sign 5,gOHt4silLhA
inform, apprise, notify (sign 1),H4pn0Iqrg8A
initiative, drive (sign 2),ELCvZrWheyk
inform, apprise, notify (sign 2),J4G3ltp807A
initiative, drive (sign 1),oqq2I0ePK3Y
insect (sign 2),yB2sJTE2Mek
injury,xSAoWBeLvfo
Instagram (sign 1),GXhOBQRBsb4
innovate,XhewfEcC070
Iraq,_g40sO4Upvg
invite, welcome,P8c9TRiU7HI
iron (metal) (sign 1),r607N-5gkHs
It's a piece of cake,AilePB-_EKE
invent, create,OB6FvmCHsDg
Ireland,yYf_JyfDvLU
iron (metal) (sign 2),sfpvbKAz4Oo
Iran,p2tLsgPiaWw
Islam, Muslim (sign 2),SB50UhgrFMY
intelligence, knowledge,lV1k10LuRGk
Instagram (sign 2),lQyrTnOO4XE
lift (sign 1),fGyKwTrS88U
long jump (sign 1),ZaBfhzfL_II
light (electricity),Pq-OLkv13Bw
limit,8biyNZmIKsk
livelihood (sign 1),rbu6XJFG-uI
lifelong, long term,OSRpGh3d0cI
light (less weight),i_zyHcuPs6s
library,v3hY00Fy7rE
lift (sign 3),nWsRyI0iqEQ
like,T9eBnmIRtqg
local train,WKgIi8YdHtI
less, few,F9JOa0fXPI4
LG Mobile,EvwF_HCmPxY
list (sign 2),4BNqHj-lQaE
lift (sign 2),nkox-ajvLnc
livelihood (sign 2),MFWHZG1Xnr4
litre,HnydoJ4McR8
license (sign 2),x-uAyPToZMs
life jacket (meaning),wKDAEDyBAY0
Libya,Zb_TG66NcQM
letter,71MQl0F0_No
long jump (sign 2),oEegSY9O_AI
list, points (sign 3),LH_-eRo-vYw
lock,ZcVzjZeVwj0
little, meager,RPzCiRXVcr8
line,1TiirpYN_W8
lonely, isolated, alone,u7dV3wCpaqM
lightning,bbWDUkaUXLE
lentils,GZi36Nr1AXk
listen (visual),Tfxp43vVHpY
level (sign 1),Bc_Km33uz74
lips,zSst5y5j_fI
Liberia,gnQLgdWLk0c
live,ea8VG_U1OM4
life,UPBonZ_8HIM
Let someone off the hook,7lcNAWEHBmA
lie, false,XFG6tJjEar8
lion,RhEpVt-AEK8
lose,0xVWH6F3Fz0
license (sign 1),ArrUPiaqzHA
list (sign 1),kKCEuKZ3lV0
librarian,Y0G5Sqs-lYw
license (sign 3),uOs0878HhR4
listen (sound),f1U4dYb9r0A
Let the cat out of the bag, Spill the beans,a4hj7imNy64
link, connect, associate,lypZOubhfds
lighthouse,N6DxyKcaZVs
livelihood (sign 3),Cgk-fX-KFhw
look, gaze, see,WlhFpHM7lYY
local,CDd6olbtjWE
logic, rationale,prb13TWFfLY
long,0EiwsY7ofnA
level (sign 2),lZt6lnBA9Gc
lollipop,UPh2mJTMLIQ
wood,eO-TvyY-J_o
Israel,oEb4cNh9cng
international (sign 2),oX-Mo3au4eY
involve,PJL-GZq0Tlk
international (sign 1),WaTcrOr3-gk
itch, scratch,U_I4IzFnhdw
interest (finance),7kHhJbwb-xg
it,TR_tbUxLUco
interpret, interpreter,IctKxBrrjJI
irritate (meaning),N5icmuz-NIU
iron (clothes),-nITY8LhYgc
Islam, Muslim (sign 1),5xLVmxL3p0k
internet,Zj_vIX40c4U
Italy,TirzXnBaSt0
iPhone,vFZMA4_VtAY
island,qiK-4WwmTNg
interest (sign 1),6gXuMMAxOm0
wool,wfHGKTc0WuY
word,QSdgD2M4Xdw
work sign 1,t9pvXOgaJe8
wifi (sign 1),1EoEG8Pvc8Q
wifi (sign 2),Ir-Qe2kkROw
wifi (sign 3),AXkvz_N39pg
Wikipedia,TXtLoo3D-xQ
win,fC-PT3F6GFo
wind,ADtWeEnpLfY
window,NQ7Gnl9nRuY
wine (sign 1),rCfYRtWfYVA
wine (sign 2),Bo35LBOce64
winner, victor, champion (meaning),nqH15OqXPnI
winner, victor, champion,9tph00_pAf4
winter,NQTfv_uhpfg
wise, intelligent (sign 2),EJ0UG10b714
wise, knowledgeable (sign 1),U-DAmE4tzo4
without (sign 1),LYQL5Is2IP0
without (sign 2),9vvemJ0nr-E
wolf,CoxdEUEw9Lw
woman, female,zJmlqjm_b5g
woodpecker,N53qGezr7MU
It's not rocket science,2WaoD5fHm90
itself,EpxAKEtJbdI
It's raining cats and dogs,yoG_mrM8Hg8
interview (sign 1),5Qu6asXdlFs
introduce,Dywl939W0wU
interpret,BX15HPM6TzE
Lenovo,fKwQPZnzJCg
it, this,pNIc3-tZCr8
interest (sign 2),syK7APT1R4w
jacket,STdeLMDk8Sc
Jaipur (sign 1),e3c5fUAhX2Y
jackfruit (sign 1),jB1wqkujn00
jackfruit (sign 2),98QpyN3f8ZU
job (sign 2),JqUNaUjxigE
John Abraham,0wbIDvSCi4E
javelin throw,YHl7zDSdzVE
Janmashtami (sign 1),P9GAmYhGhJ0
jobless, unemployed, out of work,oksjclh3Z3M
jobless, unemployed,hXHLEKBaaNM
Jantar Mantar,ZES6f5bu19M
jaundice,SJxqZH9B3zw
jealous,Fq_93YDbQ6s
jam,Y0-DjFLQcLw
jewelery,PWi1hx2Omgo
job (sign 1),JSEGoqKaQM0
What happened,y1hvKgvxm5Q
What is your name,04qLwQo-2MM
what time,emLsUwqTcMU
what,4accXsYqRnA
whatever,J79s05Z0NZ8
WhatsApp,tHNhqhFdMgQ
when (for days),mPZ37Qlg4B8
where,8wgrPnyzpMw
which,H0G_jCcuCWU
while,aVXHUzd1cW4
whistle,cGIpxkvYfys
white,kPx4MXMIFZI
whiteboard,kBaDVYUWeoc
who, whom,O8jMsqDMiRE
why (meaning),_DzQr-7t3Wo
why (sign 1),m4fQZijBvjo
why (sign 2),7bqtiz4KRnE
wicket (cricket),w87_PYaYQz4
wicketkeeper (cricket),dm6hv7A_XGI
wide, broad,3Rp9c3S9HiA
wife,podfgBVY9ak
Juhu beach,7h45o7GDrlo
jamun,KXNl6DtK84A
Jama Masjid,zdGKXf_2HFA
jellyfish,Ld9qDys95es
jasmine,63ziYT2F6ps
juice,dSF64aB7oIs
joke, funny, tease,m1LyTLlhmvA
Jet Airways,8JwPiK_tqTA
Janmashtami (sign 2),IWCiPFCUzI0
journalist, reporter (sign 2),LwD7BG_zdXM
January (sign 1),jLV6SCP_7tA
Kareena Kapoor Khan,KyAcip_a8Lg
kajal,YfbeV360wAA
June,WP5T6GzCCy4
Kali Mata (sign 1),BYY1nIP7J-E
karate,EvZvymz1nRo
July,181pBJw-eWg
Kali Mata (sign 2),X-yEakgxzbs
Kathakali,ofZ6Jo2XUn8
Krishna,26vEFQYbzvc
knife (sign 1),2-6FnMinc3U
know,jTBahbE4_OY
kilogram,EKp6wIukZRc
knife (sign 2),uHAhEiTlj_M
kidney beans (sign 1),5abyQsJRQIY
king,kEMFrD53l6E
knock,5c0M_nkTsmg
kiss,LUZ-fo_p2eM
Kumbh Mela (sign 2),chPdC6gwibQ
kilometre,5RD0XpWkclQ
Kuwait,2XbRuRKOfRE
Kenya,Rs0EKMMQqPI
[Private video],Vc0YkcqRNAM
kite,iLrSnUDmfC4
knowledge, expertise,1G3VZ_HWTWI
Kazakhstan,N0-cIcGCH3A
Konark Sun Temple,o610N3lN8Zo
kick out, eject (sign 1),x3nuREvEwis
kill, murder (sign 2),pCBCoT-2Bb4
key,FathKZe6_LI
[Private video],PemmRc-BA94
[Private video],n4ITD16-c9Q
Kumbh Mela (sign 1),OXmN5c7MCUk
Korea,SHsq8VSKV_M
kind, kindhearted,DTOsm_OuWLM
kidney beans (sign 2),3WEkK4AaiV4
[Private video],_mAt07ZKGeg
kitchen,QYaPv88J2iE
kill, murder (sign 1),ddpIUqF0dEg
knife (sign 3),WdBygG07nkU
kick, eject, fire from job (sign 2),dT9dCqGuDCE
kidnap,B3ViGdozfp4
keep, hold, retain, store,JjDVZDpPjbc
Kannada (sign 2),WuoR5g21H1Q
Karnataka,2tp3AspW6TA
Kannada (sign 1),nbVI64uJFks
wet,VbRmhM7sUGo
west,inBVDyEiUDk
